A b c	Bảng chữ cái
Coworker	Bạn đồng nghiệp
Cowshed	Chuồng bò
Coxcomb	Công tử bột
Coxswain	Thuyền trưởng
Coze	Nói chuyện phiếm
Crab apple	Cây táo đại
Crabbed	Chua chát
Crabbing	Việc bắt cua
Crabbit	Dễ cáu
Crabby	Cáu gắt, gắt gỏng
Crabwise	Khó nhọc, cực nhọc
Cracked	Rạn, nứt
Crackled	Bị rạn nứt
Crackly	Dễ nổ lách tách
Cracknel	Bánh quy giòn
Cracky	Nứt, rạn
Craft	Nghề, nghề thủ công
Craftily	Láu cá, quỷ quyệt
Craftless	Không mánh khoé
Craftsman	Thợ thủ công
Cragpit	Hang động
Cragsman	Người leo núi giỏi
Crampon	Móc sắt
Craniate	Có sọ
Craniology	Khoa sọ
Crankman	Người quay tay quay
Crankshaft	Tay quay, maniven
Crannied	Có nhiều vết nứt nẻ
Cranny	Vết nứt, vết nẻ
Crap	Phân, cứt
Crape	Nhiễu đen, kếp đen
Craped	Mặc nhiễu đen
Crapped	Mặc đồ nhiễu đen
Crappy	Dở, không hấp dẫn
Crash	Phá sản
Crass	Thô
Crassitude	Sự thô bỉ,
Crassly	Ngu xuẩn, dại dột
Crassness	Sự thô
Crater	Miệng núi lửa
Craterlet	Miệng nhỏ núi lửa
Cravat	Cái ca vát
Crave	Nài xin, khẩn cầu
Craven	Hèn nhát
Crawl	Ao nuôi cá
Crayfish	Tôm
Crayon	Bút chì màu
Crazed	Bị rạn nứt
Crazily	Say mê, say đắm
Craziness	Sự quá say mê
Crazy	Quá say mê
Creakily	Cót két, kẽo kẹt
Creamy	Có nhiều kem
Crease	Nếp nhăn, nếp gấp
Creasy	Nhăn, nhàu
Creatine	Cũng creatin
Creation	Sự sáng tác
Creative	Tạo ra, sáng tạo
Creatively	Sáng tạo
Creature	Sinh vật, loài vật
Credence	Tín ngưỡng
Credent	Đáng tin
Credibly	Tin được, đáng tin
Credit	Bán chịu
Credo	Cương lĩnh
Credulous	Cả tin, nhẹ dạ
Creed	Tín điều
Creek	Vùng, lạch
Creep	Từ biến
Creeper	Loài vật bò
Creeping	Dần dần, từ từ
Creepingly	Bò, trườn
Cremaster	Cơ bìu
Cremate	Đốt ra tro
Cremation	Sự đốt ra tro
Cremator	Người đốt rác
Crematoria	Nơi hoả táng
Crematory	Nơi hoả táng
Crenel	Lỗ châu mai
Crenelated	Có lỗ châu mai
Crenelle	Lỗ châu mai
Crepe	Cũng crêpe
Crepuscle	Crepuscule
Cresset	Đèn bến cảng
Crested	Có biểu tượng riêng
Crestless	Không có mào
Cretinize	Làm đần độn
Crew neck	Kiểu cổ áo tròn
Crèche	Nhà bè
Cribbage	Lối chơi bài kipbi
Cribber	Học sinh quay cóp
Cribble	Sàng
Cribrose	Rỗ mặt sàng
Cricketer	Người chơi crikê
Criketer	Người chơi crikê
Crikly	Một cách uốn
Crime	Tội ác
Criminally	Criminally
Criminate	Buộc tội
Crimplene	Vải khó nhàu
Crimson	Đỏ thẫm, đỏ thắm
Crinkle	Uốn, nếp uốn
Crinkly	Nhăn, nhàu
Crinoline	Vải canh
Crinose	Có lông dài
Cripple	Người què
Crises	Cơn khủng hoảng
Crisp	Giòn
Crispate	Quăn
Crispation	Sự uốn quăn
Crisper	Sắt uốn tóc
Crispness	Tính chất giòn
Crispy	Quăn, xoăn
Crissum	Vùng ổ nhớp
Crista	Lược
Cristate	Có lược
Criterion	Tiêu chuẩn
Critical	Tới hạn
Critically	Chỉ trích, trách cứ
Critique	Bài phê bình
Crêpe	Nhiễu, kếp
Croaker	Kẻ báo điềm gỡ
Croceate	Có màu vàng nghệ
Crock	Bình sành, lọ sành
Crockery	Bát đĩa bằng sành
Croesus	Nhà triệu phú
Croft	Mảnh đất nhỏ có rào
Crofting	Việc lĩnh canh
Crone	Bà già
Crook	Cái gậy có móc
Crooked	Xoắn
Cropful	Bụng no nê
Croppage	Tổng thu hoạch
Cropper	Cây cho hoa lợi
Cropping	Sự thu hoạch
Crossed	Chéo
Crossing	Vượt
Crosslet	Thánh giá nhỏ
Crossly	Cáu kỉnh, gắt gỏng
Crossways	Theo đường chéo góc
Crosswise	Chéo nhau
Crossword	Trò chơi ô chữ
Crotchet	Cái móc
Crotchety	Quái gở, kỳ quặc
Croucher	Người xu nịnh
Crow	Con quạ
Crowd	Đám đông
Crowded	Đông đúc
Crowflight	Đường chim bay
Crown	Vua, ngôi vua
Crownling	Ấu chúa
Crucial	Cốt yếu, chủ yếu
Crucially	Quan trọng, chủ yếu
Crucible	Nồi nấu kim loại
Crucifix	Hình thập ác
Cruciform	Có hình chữ thập
Cruddly	Khó chịu
Crude iron	Gang
Crudely	Sơ sài, qua loa
Crudite	Miếng cà rốt
Cruising	Đi tuần tra
Crumble	Vỡ vụn, đổ nát, bở
Crumby	Đầy mảnh vụn
Crump	Nổ ra
Crumpet	Bánh xốp
Crumpy	Mềm yếu
Crunch	Tiếng lạo xạo
Crunchy	Cứng và giòn
Cruorine	Huyết sắc tố
Crural	Thuộc đùi
Crureous	Cơ đùi lớn ở giữa
Crushingly	Triệt hạ, hạ nhục
Crust	Mẩu bán mì khô
Crusted	Có vỏ cứng
Crustily	Càu nhàu, gắt gỏng
Crusty	Có vỏ cứng
Crutched	Chống gậy
Cryctron	Criôtron
Crying	Khóc lóc, kêu la
Cryptic	Bí mật, mật
Cryptogram	Bản viết mật
Cryptology	Khoa mật mã
Cryptonym	Tên ẩn giấu
Crystal	Bán dẫn
Cubage	Phép tìm thể tích
Cubature	Phép tìm thể tích
Cubbing	Sự đi săn cáo
Cubbish	Lỗ mãng, thô tục
Cube	Nâng lên bậc ba
Cubic	Đường bậc ba, cubic
Cubist	Hoạ sĩ lập thể
Cuckhold	Cắm sừng chồng
Cuckholdry	Việc cắm sừng chồng
Cucullus	Nắp
Cucumiform	Hình quả dưa chuột
Cudden	Chàng ngốc
Cuddlesome	Thích được vuốt ve
Cuddy	Phòng con
Cudgel	Dùi cui, gậy tày
Cueing	Ghi âm cao tốc
Cuff	Cổ tay áo giả
Cuirass	Áo giáp
Cuirassier	Kỵ binh mặc giáp
Cuisine	Cách nấu nướng
Culex	Muỗi cu lếch
Cull	Lựa chọn, chọn lọc
Culm	Bụi than đá
Culottes	Quần sooc rộng
Culpa	Sai lầm
Culpable	Tội lỗi
Culpably	Đáng trách
Culprit	Thủ phạm
Cultiform	Dạng dao
Cultillus	Lưỡi dao
Cultivar	Cây trồng
Cultivate	Cày cấy, trồng trọt
Cultured	Có học thức
Culvert	Cống nước
Cumber	Sự làm trở ngại
Cumquat	Quả kim quất
Cumshaw	Quà tặng
Cumulant	Nửa bất biến
Cumulate	Tích luỹ
Cumulation	Sự tích luỹ
Cumuli	Mây tích
Cumuliform	Giống như đống mây
Cumulus	Mây tích
Cunctation	Sự trì hoãn
Cunctative	Trì hoãn
Cunctator	Người trì hoãn
Cuneate	Hình nêm
Cuneiform	Hình nêm
Cunningly	Xảo trá, gian trá
Cupcake	Bánh nướng nhỏ
Cupful	Tách đầy, chén đầy
Cupreous	Có đồng, chứa đồng
Cupuliform	Hình chén
Curacao	Rượu vỏ cam
Curacoa	Rượu vỏ cam
Curative	Trị bệnh, chữa bệnh
Curbless	Không có dây cương
Curbstone	Đá lát lề đường
Curdy	Đóng cục, dón lại
Cureless	Không chữa được
Curfew	Sự giới nghiêm
Curiosity	Tính ham biết
Curiously	Tò mò, hiếu kỳ
Curler	Dụng cụ cuộn tóc
Curlicue	Vòng xoắn trang trí
Curly	Quăn, xoắn
Curmudgeon	Người keo kiết
Curn	Lượng nhỏ
Currag	Cũng currach
Current	Dòng || hiện hành
Currently	Hiện thời, hiện nay
Curricle	Xe song mã hai bánh
Currish	Bần tiện
Curry	Bột ca ri
Cursorily	Vội vàng, qua loa
Curt	Cộc lốc, cụt ngủn
Curtail	Rút ngắn
Curtailed	Đã được rút ngắn
Curtal	Bị cắt bớt
Curtate	Rút ngắn
Curtly	Cộc lốc, sẳng
Curvate	Uốn cong
Curvature	Độ cong
Curve	Đường cong
Curved	Cong
Curviform	Có hình cong, cong
Curvity	Tính chất cong
Curvometer	Máy đo đường cong
Curvy	Cong
Cushion	Cái đệm, cái nệm
Cushionet	Cái đệm nhỏ
Cushy	Không khó nhọc mấy
Cussedly	Lì lợm, ngoan cố
Cussword	Lời thề
Custard	Món sữa trứng
Custom	Phong tục, tục lệ
Customable	Phải đóng thuế quan
Customs	Thuế nhập khẩu
Cut glass	Thủy tinh chạm
Cut sugar	Đường miếng
Cutback	Sự cắt giảm
Cutely	Ranh ma, láu lỉnh
Cuticle	Biểu bì
Cutin	Cutin
Cutlery	Nghề bán dao kéo
Cutlet	Món côtlet
Cutpurse	Kẻ cắp, kẻ móc túi
Cutter	Kìm cắt, đồ cắt
Cutthroat	Kẻ giết người
Cuttingly	Chua cay, cay độc
Cutty	Cộc, cụt, ngắn ngủn
Cyanic	Xanh
Cyanosed	Bị chứng xanh tím
Cybersex	Tính dục máy tính
Cyclamate	Đường hoá học
Cyclically	Một cách tuần hoàn
Cyclicity	Tính chất chu kỳ
Cyclide	Xilic
Cyclifying	Tạo thành hình tròn
Cyclist	Người đi xe đạp
Cyclogram	Biểu đồ chu trình
Cyclograph	Đồ thị chu trình
Cycloid	Xicloit
Cycloramic	Thuộc màn vây
Cyclosis	Sự vận động vòng
Cyclostyle	Máy in rônêô
Cyclotron	Xiclôtron
Cyder	Rượu táo
Cygnet	Con thiên nga non
Cylindroid	Phỏng trụ
Cystoid	Dạng kén
Cystolith	Sỏi bàng quang
Cystoscope	Ống soi bọng đái
Cytolysin	Hủy tế bào tố
Cytoplasm	Tế bào chất
Dabbling	Sự quan tâm hời hợt
Dabby	Ướt
Daft	Gàn, dở người
Dagger	Dao găm
Daggle	Lội bùn
Daily	Hằng ngày
Daintily	Xinh đẹp, xinh xắn
Daintiness	Vị ngon lành
Dairying	Sự sản xuất bơ sữa
Dais	Bệ, đài, bục
Daisied	Đầy hoa cúc
Dalliance	Sự suồng sã cợt nhã
Dally	Ve vãm, chim chuột
Damnable	Đáng trách
Damnably	Rất tồi tệ
Damnedest	Thành ngữ
Damnific	Có hại
Damning	Sự kết tội
Damped	Tắt dần
Dampish	Hơi ướt, hơi ẩm
Damply	Ẩm ướt, nhớp nháp
Dampness	Sự ẩm ướt
Dampy	Ấm, hơi ấm
Dance	Sự khiêu vũ
Danelagh	Luật Đan Mạch
Dangle	Lúc lắc, đu đưa
Dangling	Lủng lẳng
Dank	Có âm khí nặng nề
Dapple	Đốm, vết lốm đốm
Dappled	Có đốm sáng
Dare	Sự dám làm
Daresay	V, cũng dare say
Dark	Mù mịt, u ám
Dark horse	Người  kín miệng
Darkish	Hơi tối, mờ mờ
Darkle	Tối sầm lại
Darkling	Tối mò
Darkly	Tối tăm, tối mò
Darn	Sự mạng
Darned	Bị nguyền rủa
Darner	Người mạng
Darning	Sự mạng
Dart	Cái lao, ngọn mác
Darting	Nhanh như tên bắn
Dastard	Kẻ hèn nhát
Dastardly	Hèn nhát
Data link	Liên kết dữ liệu
Dataller	Người làm công nhật
Datatron	Máy xử lý số liệu
Dated	Đề nghị
Dateless	Không đề ngày tháng
Datestamp	Dấu đóng ngày tháng
Daub	Lớp trát bên ngoài
Dauber	Hoạ sĩ tồi
Daubster	Hoạ sĩ tồi
Daughter	Con gái
Daunt	Khuất phục
Dauphin	Hoàng thái tử
Day care	Sự giữ trẻ ban ngày
Day off	Ngày nghỉ
Day return	Vé đi về trong ngày
Daysman	Người làm công nhật
Daytaler	Người làm công nhật
Daytime	Ban ngày
Ddvp	Thuốc DDVP trừ sâu
De rigueur	Đặc ngữ
De trop	Vị ngữ thừa
Deacidify	Khử axit
Dead	Chết
Dead end	Đường cùng, ngõ cụt
Dead shot	Tay bắn cừ
Deadening	Việc làm cho yếu đi
Deadlight	Cửa sổ giả
Deadwood	Người  vô  dụng
Deaf	Điếc
Deafener	Bộ triệt âm
Deafness	Tật điếc
Deal	Gỗ tùng, gỗ thông
Dealer	Người buôn bán
Dealt	Gỗ tùng, gỗ thông
Deanery	Chức trưởng tu viện
Dearness	Tình thân yêu
Death	Cái chết
Death rate	Tỷ lệ tử vong
Death row	Dãy xà lim tử hình
Deathbed	Giường người chết
Deathly	Làm chết người
Deathsman	Đao phủ
Deave	Làm inh tai
Debar	Ngăn cản, ngăn cấm
Debauched	Trác táng, trụy lạc
Debenture	Giấy nợ
Debonair	Hoà nhã
Debouch	Thoát ra chỗ rộng
Debrief	Phỏng vấn, thẩm vấn
Debris	Mảnh vỡ, mảnh vụn
Debugging	Gỡ rối
Decadent	Điêu tàn
Decagon	Hình thập giác
Decagram	Đêcagam
Decagramme	Đêcagam
Decahedral	Có mười mặt
Decahedron	Thập diện
Decalog	Decalogue
Decametre	Đêcamet
Decamp	Nhổ trại, rút trại
Decamter	Mười mét
Decangular	Có mười góc
Deccision	Quyết định
Decease	Sự chết, sự qua đời
Decelerate	Hãm lại
Decennary	Thời kỳ mười năm
Decenniad	Thời kỳ mười năm
Decent	Hợp với khuôn phép
Deceptive	Dễ làm cho lầm lẫn
Decertify	Bác bỏ sự xác nhận
Decibel	Quyết định
Decide	Giải quyết, phân xử
Deciduate	Có màng rụng
Decigram	Đêxigam
Decigramme	Đêxigam
Decile	Thập phân vị
Deciliter	Đêxilit
Decilitre	Đêxilit
Decimeter	Đêximet
Decimetre	Đêximet
Decisive	Quyết định
Decker	Vật trang sức
Declare	Tuyên bố
Declassed	Bị xã hội trục xuất
Declension	Sự đi trệch ra
Declining	Xuống dốc, tàn tạ
Declivity	Dốc, chiều dốc
Declivous	Có dốc, dốc xuống
Decode	Đọc mật mã, giải mã
Decoder	Máy đọc mật mã
Decohere	Phục hồi tách sóng
Decollate	Chặt cổ, chém đầu
Decompose	Phân tích
Decomposed	Bị suy biến
Decoration	Sự trang hoàng
Decorative	Để trang hoàng
Decorous	Lịch sự, lịch thiệp
Decouple	Tách riêng ra
Decrease	Giảm
Decrescent	Giảm bớt, xuống dần
Decretal	Chiếu chỉ
Decretion	Sự giảm bớt
Decrial	Sự làm giảm giá trị
Decry	Làm giảm giá trị
Decrypt	Giải mã
Decumbent	Nằm ép sát
Dedicated	Tận tụy, tận tâm
Dedicator	Người cống hiến
Dedicatory	Để đề tặng
Deduct	Trừ đi
Deep	Sâu, sâu sắc
Deepen	Đào sâu thêm
Deeply	Sâu
Deepness	Tính chất sâu
Defat	Lấy mỡ đi
Defeatism	Chủ nghĩa thất bại
Defect	Khuyết tật
Defective	Khuyết
Deferlant	Sóng dồn
Defernt	Quỹ tích viên tâm
Deferred	Bị hoãn lại
Defiance	Sự thách thức
Defiant	Có vẻ thách thức
Deficient	Khuyết, thiếu
Defier	Người thách thức
Defilade	Thuật chống bắn lia
Defile	Hẽm núi
Definite	Xác định
Definitely	Rạch ròi, dứt khoát
Definitive	Dứt khoát
Deflagrate	Làm cháy bùng
Deflection	Độ võng
Deflective	Lệch
Deflector	Cái làm lệch
Deflexion	Sự đổi dạng
Deflux	Triều xuống
Defocus	Ra khỏi tiêu điểm
Defoliant	Chất làm rụng lá
Defoliate	Ngắt lá
Deforest	Phát quang
Deformable	Biến dạng được
Deft	Khéo léo, khéo tay
Deftly	Khéo léo
Deftness	Kỹ xảo
Defuse	Tháo ngòi nổ
Degreasant	Chất tẩy nhờn
Degrease	Tẩy nhờn
Degree	Độ, cấp bậc
Degust	Thưởng thức ý vị
Dehorn	Cưa sừng đi
Deicide	Người giết Chúa
Deism	Thần thánh
Deist	Nhà thần luận
Deity	Tính thần
Deja vu	Từ ngữ tiếng Pháp
Deject	Làm thất vọng
Delaine	Hàng len mỏng
Delaminate	Phân lớp
Delate	Mách lẻo
Delation	Sự mách lẻo
Delator	Người mách lẻo
Delayed	Bị chậm
Delectably	Đắc chí, khoái trá
Deleful	Đau buồn, buồn khổ
Delete	Gạch, bỏ đi
Deleted	Bị bỏ đi
Deliberate	Thận trọng
Delighted	Vui mừng, hài lòng
Delimiter	Dấu định nghĩa
Delineate	Vẽ, mô tả
Deliquesce	Tan ra
Delirious	Mê sảng, hôn mê
Delirium	Cơn mê sảng
Deliver	Phân phối
Delude	Đánh lừa, lừa dối
Deluge	Đại hồng thuỷ
Delurk	Lộ diện
Delusion	Sự bị lừa gạt
Demagog	Kẻ mỵ dân
Demagogic	Mị dân
Demagogism	Chính sách mị dân
Demagogue	Kẻ mị dân
Demagogy	Chính sách mị dân
Demand	Yêu cầu, nhu cầu
Demanding	Đòi hỏi khắt khe
Demarcate	Phân ranh giới
Demean	Hạ mình
Demeanor	Thái độ
Demeanour	Cử chỉ, thái độ
Demented	Cuồng lên
Demerit	Sự lầm lỗi
Demersal	Chìm
Demesed	Mọc dưới nước
Demi	Tiền tố có nghĩa là
Demigod	Á thần, á thánh
Demilune	Góc phần tư thứ hai
Demimonde	Giới giang hồ
Demission	Sự xin từ chức
Demist	Gạt bỏ sương mù
Demit	Từ chức
Demiurge	Kẻ sáng tạo
Demo	Cuộc biểu tình
Demobee	Bộ đội phục viên
Demobilise	Cho phục viên
Demobilize	Cho phục viên
Democratic	Dân chủ
Demoid	Phong phú
Demoiselle	Con chuồn chuồn
Demolish	Đánh đổ
Demolition	Sự đánh đổ
Demoniac	Bị ma ám, bị quỷ ám
Demoniacal	Bị ma ám, bị quỷ ám
Demonise	Biến thành quỷ
Demonism	Sự tin ma quỷ
Demonize	Biến thành quỷ
Demos	Quần chúng
Demure	Kín đáo
Demureness	Vẻ kín đáo
Demystify	Làm rõ, làm sáng tỏ
Denaturant	Chất làm biến tính
Dendriform	Hình cây
Dendroid	Hình cây
Dendrology	Thụ mộc học
Dene	Đụn cát, cồn cát
Denegation	Sự phủ nhận
Denervate	Cắt dây thần kinh
Denier	Người phủ nhận
Denim	Vải bông chéo
Denizen	Người ở, cư dân
Denominate	Gọi tên, đặt
Denote	Có nghĩa là
Denouement	Đoạn kết
Denovo	Một lần nữa lại
Dens	Răng
Dense	Trù mật
Densely	Dày đặc, rậm rạp
Denseness	Tính trù mật
Density	Tỷ trọng
Denticle	Răng nhỏ
Dentiform	Hình răng
Dentition	Bộ răng
Denture	Bộ răng, hàm răng
Deny	Phủ định
Deodorant	Chất khử mùi
Deodorise	Khử mùi
Deodorize	Khử mùi
Deodorizer	Chất khử mùi
Depart	Nghiêng về, lệch về
Departed	Đã qua, dĩ vãng
Department	Khoa
Departure	Sự thay đổi kinh độ
Depend	Phụ thuộc
Dependence	Sự phụ thuộc
Dependency	Phần phụ thuộc
Dependent	Phụ thuộc
Depict	Vẽ
Depicter	Người vẽ
Depiction	Thuật vẽ, hoạ
Depictive	Vẽ
Depictor	Người vẽ
Depilate	Nhổ tóc, vặt lông
Depilatory	Làm rụng lông
Deplenish	Dọn sạch đi
Deplete	Làm rỗng không
Depletion	Sự làm rỗng không
Deplorable	Đáng thương
Deplume	Vặt lông
Deport	Phát vãng, đày đi
Deportee	Người bị đày
Deportment	Cách đi đứng
Depose	Hạ bệ
Depositary	Người giữ đồ gửi
Deposition	Sự hạ bệ
Depository	Hạ, giảm
Depot	Kho chứa, kho hàng
Depraved	Sa đoạ, truỵ lạc
Depravity	Sự sa đoạ
Depredate	Cướp bóc, phá phách
Depress	Giảm, hạ
Depressed	Bị giảm, bị hạ
Depth	Độ sâu
Depurator	Người tẩy uế
Deputation	Sự uỷ nhiệm
Deracinate	Nhổ rễ, làm bật rễ
Derange	Làm trục trặc
Derate	Giảm thuế
Deregulate	Bãi bỏ quy định
Derisive	Làm trò cười
Derisively	Chế giễu, nhạo báng
Derivative	Đạo hàm
Dermatoid	Giống như da
Dermatome	Khúc bì
Dermatomic	Thuộc khúc bì
Dernier	Cuối cùng
Derrick	Cần trục, cần cẩu
Derriere	Mông đít
Derry	Điều không thích
Dervish	Thầy tu đạo Hồi
Dervived	Dẫn suất
Desalinate	Khử muối
Desalt	Loại muối, khử muối
Descale	Cạo sạch cặn
Descend	Giảm, đi xuống
Descended	Có nguồn gốc từ
Descender	Phần thấp của ký tự
Descending	Đi xuống
Descent	Sự giảm
Describe	Mô tả
Desert	Công lao, giá trị
Deserter	Kẻ đào ngũ
Desertion	Sự đào ngũ
Deserve	Đáng, xứng đáng
Deserved	Đáng, xứng đáng
Deservedly	Xứng đáng
Desex	Làm mất giới tính
Desiccant	Chất làm khô
Desiccate	Làm khô, sấy khô
Desiderata	Việc cầu chưa được
Desiderate	Mong mỏi, nhớ mong
Designedly	Có ý đồ
Desilver	Loại chất bạc ra
Desipience	Tính nhẹ dạ
Desire	Ước muốn
Desired	Muốn có đòi hỏi
Desist	Ngừng, thôi, nghỉ
Desistance	Cũng desistence
Desk	Chỗ để bìa đục lỗ
Desktop	Bàn giấy, mặt bàn
Desma	Mạng liên kết
Desmosome	Thể nối
Despatch	Sự sai phái đi
Despicable	Ti tiện, hèn hạ
Despising	Khinh miệt
Despite	Ác cảm
Despiteful	Có ác cảm
Despoil	Bóc lột
Despoiler	Kẻ bóc lột
Despond	Thất vọng, chán nản
Despondent	Thất vọng, chán nản
Despotic	Bạo ngược
Despotism	Chế độ chuyên quyền
Desquamate	Tróc vảy
Dessert	Món tráng miệng
Destroy	Triệt tiêu, phá huỷ
Destructor	Lò đốt rác
Detach	Tách ra
Detached	Bị tách ra
Detachment	Sự tách ra
Detail	Chi tiết
Detailed	Được làm chi tiết
Detain	Ngăn cản, cản trở
Detective	Trinh thám
Detector	Bộ phân tích
Deterge	Tẩy
Detergent	Để tẩy
Determine	Quyết định
Detest	Ghê tởm
Detestable	Đáng ghê tởm
Dethrone	Phế, truất ngôi
Detonate	Làm nổ
Detonating	Nổ
Detonation	Sự nổ
Detonator	Ngòi nổ, kíp
Detorsion	Sự mở xoắn
Detoxicate	Giải độc
Detoxify	Giải độc
Detract	Lấy đi, khấu đi
Detrain	Xuống xe lửa
Detrited	Mòn, bị cọ mòn
Detrition	Sự cọ mòn
Detritus	Mảnh vụn
Detruncate	Chặt cụt, cắt cụt
Deuced	Quá đỗi, quá chừng
Deutoplasm	Hậu chất
Deversion	Sự tránh
Deviate	Lệch || độ lệch
Deviatory	Lệch sai đi
Devil	Ma, quỷ
Devilishly	Rất, vô cùng
Devilment	Quỷ thuật
Devilry	Quỷ thuật
Deviltry	Quỷ thuật
Devious	Xa xôi, hẻo lánh
Devirilise	Làm nhu nhược
Devirilize	Làm nhu nhược
Devolve	Trút cho
Devotional	Mộ đạo, sùng đạo
Dewey	Ướt sương,đẫm sương
Dewlap	Yếm bò
Dewlapped	Có yếm bò
Dewless	Không có sương
Dexter	Phải, bên phải
Dexterity	Tài khéo léo
Dexterous	Khéo léo
Dextral	Thuộc bên phải
Dextro	Quay sang phải
Dextrous	Khéo léo
Début	Khéo léo
Débutant	Khéo léo
Débutante	Khéo léo
Déclassé	Khéo léo
Décolleté	Khéo léo
Décor	Khéo léo
Dégagé	Khéo léo
Déjeuner	Khéo léo
Démarche	Khéo léo
Démenti	Khéo léo
Démodé	Khéo léo
Dénouement	Khéo léo
Déshabillé	Khéo léo
Détente	Khéo léo
Diabasis	Thuộc điaba
Diablerie	Phép ma, yêu thuật
Diabolism	Phép ma, yêu thuật
Diabolo	Trò chơi điabôlô
Diacid	Diacidic
Diaconate	Chức trợ tế
Diactinal	Hai tia nhọn
Diadem	Mũ miện, vương miện
Diagenic	Tạo lưỡng tính
Diagnoses	Lời chẩn đoán
Diagonal	Đường chéo
Diagonally	Theo đường chéo
Dialectic	Biện chứng
Dialectics	Phép biện chứng
Dialog	Hội thoại
Dialogic	Đối thoại
Dialogue	Cuộc đối thoại
Dialyser	Máy thẩm tách
Dialyses	Sự thẩm tách
Dialysis	Sự thẩm tách
Dialyzer	Máy thẩm tách
Diapause	Thời kỳ đình dục
Diaper	Vải kẻ hình thoi
Diaphanous	Trong mờ
Diarise	Giữ nhật ký
Diarist	Người giữ nhật ký
Diarize	Giữ nhật ký
Diarrheal	Diarrheic
Diarthric	Có hai khớp
Diary	Sổ nhật ký
Diathermic	Thấu nhiệt
Diatomic	Hai nguyên tử
Dice	Trò chơi xúc sắc
Dicer	Người đánh súc sắc
Dicey	Nguy hiểm
Dichotomic	Lưỡng phân
Dichotomy	Phép lưỡng phân
Dicoccus	Có quả hạch kép
Dictaphone	Máy ghi tiếng
Dictatress	Mụ độc tài
Dictionary	Từ điển
Dicyclic	Hai năm
Dicycly	Hai năm
Didactic	Để dạy học
Didactics	Lý luận dạy học
Didactyl	Hai ngón
Didgeridoo	Đàn ông Uc
Didgerydoo	Đàn ông Uc
Didynamous	Hai cặp nhị so le
Die off	Chết dần, chết mòn
Die out	Chết hết, chết sạch
Diecious	Phân tính
Dieresis	Sự tách rời âm tiết
Diesinking	Việc khắc khuôn rập
Dietary	Chế độ ăn kiêng
Dietetics	Khoa ăn uống
Difference	Sai phân
Different	Khác nhau
Difficult	Khó khăn
Diffidence	Sự thiếu tự tin
Diffident	Rụt rè, nhút nhát
Diffluent	Tràn ra, chảy ra
Difform	Xấu xí
Diffused	Phổ biến
Diffusely	Luộm thuộm, rườm rà
Diffusible	Có thể khuếch tán
Digamma	Đigama
Digen	Gen kép
Digenetic	Xen kẽ thế hệ
Digenic	Hai gen
Digestible	Tiêu hoá được
Digestion	Khả năng tiêu hoá
Digestive	Tiêu hoá
Diggings	Vật liệu đào lên
Digit	Chữ số, hàng số
Digitation	Sự phân ngón
Digitiform	Hình ngón
Diglot	Song ngữ
Dignity	Chân giá trị
Digraphic	Thuộc chữ cái đôi
Digressive	Lạc đề, ra ngoài đề
Dihedral	Nhị diện
Dihedron	Góc nhị diện
Dihybrid	Lai hai tình trạng
Diktat	Lệnh độc đoán
Dilatant	Phình ra
Dilatation	Sự giãn, phép giãn
Dilate	Mở rộng, giãn nở
Dilated	Được nở ra
Dilating	Làm giãn nở
Dilatorily	Lề mề, chậm chạp
Dildo	Cũng dildoe
Dilly	Vật đặc biệt
Dilution	Sự làm loãng
Dimenisons	Kích thước
Dimerize	Nhị trùng hoá
Dimeter	Câu thơ hai bộ
Dimidiate	Chia đôi
Diminish	Rút ngắn lại
Dimly	Lờ mờ, mập mờ
Dimmish	Lù mù
Dimness	Sự mờ, sự lờ mờ
Dimorphic	Lưỡng hình
Dimorphism	Tính lưỡng hình
Dimorphous	Lưỡng hình
Ding	Kêu vang
Dingey	Xuồng nhỏ
Dinghy	Xuồng nhỏ
Dinginess	Vẻ xỉn, vẻ xám xịt
Dinnerless	Nhịn đói, không ăn
Dinosaur	Khủng long
Dinosauric	Thuộc khủng long
Diocese	Giáo khu
Dioecism	Tính chất phân tính
Dionysiac	Thuộc thần rượu
Dioptric	Khúc xạ
Dioritic	Thuộc điorit
Diostrous	Cũng diestrous
Diphthong	Nguyên âm đôi
Diploe	Đuôi bò cạp
Diploid	Lưỡng bội
Diploidy	Thể lưỡng bội
Diplolar	Lưỡng cực
Diploma	Văn thư công
Diplomacy	Khoa ngoại giao
Diplomat	Nhà ngoại giao
Diplomate	Người có văn bằng
Diplomatic	Ngoại giao
Diplont	Sinh vật lưỡng bội
Diplopod	Động vật chân kép
Dipnoan	Cá phổi
Dipole	Lưỡng cực
Dipperful	Vật đầy một môi
Dippy	Gan, hâm hâm
Dipsomania	Chứng khát rượu
Dipteran	Côn trùng hai cánh
Diptych	Sách gập hai tấm
Dirdum	Lời chê trách
Dire	Kinh khủng
Direct	Trực tiếp
Direct tax	Thuế trực thu
Direction	Hướng, phương
Directive	Chỉ dẫn, hướng dẫn
Director	Dụng cụ điều khiển
Directory	Mục lục
Directrix	Đường chuẩn
Dirigible	Điều khiển được
Dirndl	Áo dài của phụ nữ
Dirt	Đâm bằng dao găm
Dirt road	Đường đất
Disabled	Người tàn tật
Disaccord	Sự bất hoà
Disallow	Cự tuyệt
Disappear	Biến đi, biến mất
