A b c	Bảng chữ cái
Egocentric	Cho mình là trọng tâm
Egohood	Nhân cách, cá tính
Egoistic	Vị kỷ, ích kỷ
Egoistical	Vị kỷ, ích kỷ
Ego-trip	Sự ích kỷ, sự vị kỷ
Egomania	Tính chất hết sức ích kỷ
Egomaniac	Người cực kỳ ích kỷ
Egotrip	Làm chỉ đề cao lòng tự trọng
Egregious	Quá xá, đại, chí
Egress	Sự ra
Egression	Sự đi ra
Egressive	Rút ra khỏi
Eident	Nỗ lực
Eiderdown	Chăn phủ giường chần lông vịt
Eider-down	Lông vịt
Eidograph	Máy thu phóng tranh vẽ
Eidola	Bóng ma
Eidolon	Bóng ma
Eigen	Riêng, đặc biệt, độc đáo
Eighteenth	Thứ mười tám
Eighteeth	Một phần mười tám
Eightfold	Gấp tám lần
Eighth	Thứ tám, một phần tám
Eighthly	Tám là
Eightieth	Một phần tám mươi
Eightscore	Một trăm sáu mươi
Eightyfold	Gấp tám mươi lần
Eikou	Xem icon
Eirenicon	Đề nghị hoà bình
Eirie	Xem aerie
Eis wool	Len bóng hai sợi
Eisa	Chuẩn EISA
Eiswein	Rượu nho ngọt của Đức
Eiswool	Len cao cấp hai sợi
Either-or	Hoặc-hoặc
Ejaculator	Xem ejaculate
Ejectable	Xem eject
Ejective	Để tống ra, để đuổi ra
Ekka	Xe một ngựa
Elaborate	Phức tạp
Elaborator	Xem elaborate
Elaeometer	Cái đo dầu
Elastic	Đàn hồi, co giãn
Elasticate	Làm cho đàn hồi
Elasticity	Tính đàn hồi, đàn hồi
Elastomer	Chất đàn hồi
Elatedly	Phấn khởi, hân hoan
Elatedness	Xem elated
Elater	Sợi đàn hồi
Elation	Niềm vui
Elbow	Khuỷu tay áo
Elbow-cap	Xương bánh chè
Elbow-pipe	Ống nối có góc
Elbow-rest	Gối dựa
Elbow-room	Chỗ trở tay
Elchee	Sứ thần, đại sứ
Elder	Nhiều tuổi hơn
Elderly	Sắp già
Eldership	Xem elder
Eleaticism	Học thuyết Ê-lê
Elect	Chọn lọc
Election	Sự chọn
Elective	Do chọn lọc bằng bầu cử
Electively	Xem elective
Elector	Cử tri, người bỏ phiếu
Electorate	Toàn bộ cử tri
Electoress	Nữ cử tri
Electress	Nữ cử tri
Electrify	Nhiễm điện, điện khí hoá
Electrine	Hổ phách
Electrise	Cho nhiễm điện
Electrize	Cho nhiễm điện
Electrode	Cực, cực điện
Electron	Điện tử, êlêctron
Electrum	Hợp kim vàng bạc
Electuary	Thuốc tê
Elegantly	Thanh lịch, tao nhã
Elegiacal	Xem elegiac
Elegiacs	Thơ bi thương
Elegise	Viết khúc bi thương
Elegist	Nhà thơ bi thương
Elegize	Viết khúc bi thương
Elegy	Khúc bi thương
Elektron	Xem electron
Element	Phần tử, yếu tố
Elementary	Cơ bản, sơ yếu
Elemi	Dấu trám
Elemntary	Sơ cấp, cơ bản
Elench	Sự ngụy biện
Elevate	Đưa lên, nâng lên
Elevated	Cao cả, cao thượng, cao nhã
Elevation	Phép chiếu thẳng góc
Elevator	Máy nâng, máy trục
Eleventh	Một phần mười một
Elfin	Yêu tinh
Elfish	Yêu tinh
Elfishly	Xem elfish
Elfishness	Xem elfish
Elf-arrow	Mũi tên bằng đá lửa
Elf-bolt	Mũi tên bằng đá lửa
Elf-land	Nơi ở của yêu tinh
Elf-lock	Mớ tóc rối
Elf-locks	Mớ tóc rối
Elf-maid	Cũng elf  woman
Elicitor	Xem elicit
Eligible	Đủ tư cách, thích hợp
Eligibly	Xem eligible
Eliminable	Bỏ được, khử được
Eliminant	Kết thúc
Eliminate	Khử bỏ, loại trừ
Eliminator	Bộ lọc loại
Elixir	Thuốc luyện đan
Ellipse	Elip
Ellipsoid	Elipxoit
Ellipticty	Tính eliptic
Elliptoid	Gần giống Elip
Eloge	Lời ca ngợi, lời khen ngợi
Elogist	Người tán dương
Elogy	Bài ca tụng
Elongate	Kéo dài ra, giãn ra
Elongation	Sự kéo dài, sự giãn
Elope	Trốn đi theo trai
Elopement	Sự trốn đi theo trai
Eloper	Người trốn đi theo trai
Eloquence	Tài hùng biện
Eloquent	Hùng biện, hùng hồn
Eloquently	Hùng biện, hùng hồn
Else	Khác, nữa
Elsewhere	Ở một nơi nào khác
Elucidate	Giải thích
Elucidator	Người giải thích
Elucubrate	Làm cặm cụi
Elude	Tránh, thoát, tuột, sổng
Elusively	Xem elusive
Elute	Tách rửa
Elutriate	Rửa sạch
Eluvium	Đá sót
Elves	Yêu tinh
Elvish	Yêu tinh
Elysian	Elysian
Elytroid	Xem elytron
Elytrum	Số nhiều elytra
E-boat	Tàu phóng ngư lôi của địch
E-business	Kinh doanh điện tử
E-commerce	Thương mại điện tử
E-mail	Thư điện tử
Emaciate	Làm gầy mòn, làm hốc hác
Emaciated	Gầy mòn, hốc hác
Email	Thư điện tử
Emanate	Phát ra, bắt nguồn
Emanative	Xem emanate
Emarginate	Không bờ
Emasculate	Thiến, hoạn
Embalmer	Xem embalm
Embargo	Lệnh cấm vận
Embarking	Xem embarkment
Embayed	Có hình dáng vịnh
Embayment	Vũng
Embed	Nhúng
Embedded	Được nhúng
Embedding	Phép nhúng
Embedment	Xem embed
Embitter	Làm đắng
Emblazoner	Xem emblazon
Emblazonry	Nghệ thuật làm huy hiệu
Emblement	Vụ lợi
Embodiment	Hiện thân
Embody	Là hiện thân của
Embolic	Lõm vào
Embolismic	Xem embolism
Embonpoint	Sự béo tốt, đẫy đà
Embosom	Ôm vào ngực
Embosomed	Bị bao quanh
Emboss	Chạm nổi, rập nổ, làm nổi
Embosser	Xem emboss
Embow	Uốn cong hình vòng cung
Embowel	Moi ruột
Embower	Quây vào trong một lùm cây
Embrace	Sự ôm, cái ôm
Embrasured	Xem embrasure
Embrave	Cổ vũ
Embroidery	Việc thêu
Embroil	Làm rối rắm
Embrown	Làm nâu, nhuộm nâu
Embryonal	Thuộc phôi
Emcee	Người chủ trì
Emeer	Xem emir
Emender	Xem emend
Emerald	Ngọc lục bảo
Emerge	Xuất hiện, nổi lên, nhô lên
Emergent	Nổi lên, lồi ra, hiện ra
Emeritus	Danh dự
Emersion	Sự nổi lên, sự hiện lên
Emery	Bột mài
Emesis	Số nhiều emeses
Emetically	Xem emetic
Emfasy	Nhấn mạnh, cường điệu
Emigrant	Di cư
Emigrate	Di cư, di trú
Emigratory	Di cư
Eminence	Mô đất
Eminent	Nổi tiếng, xuất sắc
Eminently	Eminently
Emirate	Tiểu vương quốc A Rập
Emissarium	Số nhiều emissaria
Emissary	Phái viên, phái viên mật
Emissive	Phát ra, bốc ra, toả ra
Emissivity	Độ phát xạ
Emit	Phát, phát hành
Emittance	Độ trưng
Emitter	Bộ phát xạ
Emmetrope	Người mắt bình thường
Emmetropia	Tình trạng mắt bình thường
Emmetropic	Xem emmetropia
Emolliate	Làm cho yếu đi
Emolument	Lương, tiền thù lao
Emotional	Cảm động, xúc động, xúc cảm
Emotive	Cảm động, xúc động, xúc cảm
Emotively	Xem emotive
Emotivity	Xem emotive
Empale	Đâm qua, xiên qua
Empathetic	Có sự đồng cảm, thông cảm
Emperor	Hoàng đế
Empery	Chủ quyền
Emphasise	Nhấn mạnh
Emphasize	Nhấn mạnh
Emphatic	Nhấn mạnh, nhấn giọng
Emphysemic	Xem emphysema
Empicture	Biểu thị bằng tranh
Empire	Chế chế
Empiric	Theo lối kinh nghiệm
Empiricism	Chủ nghĩa kinh nghiệm
Emplane	Cho lên máy bay
Emplastic	Dính
Employee	Người làm, người làm công
Employer	Chủ
Employé	Người làm, người làm công
Emplume	Trang sức lông chim
Empodium	Đế vuốt
Empoison	Làm nhiễm độc
Emporium	Nơi buôn bán, chợ
Empress	Hoàng hậu
Emprise	Hành động hào hiệp
Emptily	Xem empty
Emptiness	Tình trạng rỗng không
Empty	Trống rỗng
Emptying	Sự làm cạn
Empurple	Làn đỏ tía, nhuộm đỏ tía
Empyema	Số nhiều empyemata,  empyemas
Empyemic	Có mủ
Empyreum	Xem empyrean
Emulative	Thi đua
Emulator	Đối thủ
Emulously	Với ý thức thi đua
Emulsible	Có thể nhũ tương hoá
Emulsifier	Chất chuyển thể sữa
Emulsify	Chuyển thành thể sữa
Emulsive	Ở thể sữa
Emulsoid	Chất thể sữa
Emulsoidal	Thuộc chất thể sữa
En bloc	Toàn bộ gộp cả lại
En masse	Nhất tề
En passant	Nhân tiện đi qua, tình cờ
En route	Đang trên đường đi
En suite	Định ngữ
Enable	Có thể
Enabler	Xem enable
Enabling	Cho phép
Enactable	Xem enact
Enactory	Thuộc việc chế định pháp luật
Enamel	Lớp men
Enameler	Xem enamel
Enameling	Củng enamelling
Enamelist	Xem enamel
Enamoured	Ham thích
Enation	Mấu nhú
Encalm	Làm cho yên tĩnh
Encampment	Sự cắm trại
Encase	Cho vào thùng, cho vào túi
Encaustic	Vẽ khắc nung
Encave	Giấu trong huyệt
Enceinte	Có chửa, có mang
Encephalon	Óc, não
Enchain	Xích lại
Enchanting	Bỏ bùa mê
Enchase	Gắn vào
Enchorial	Thông tục
Enchyma	Danh từ
Encircle	Vây quanh, bao quanh, bao vây
Encircling	Bao vây
Encirling	Bao vây
Enclasp	Ôm chặt
Encloister	Đưa vào tu viện
Enclose	Bao quanh, chứa |
Enclothe	Mặc quần áo cho
Encloud	Phủ mây
Encode	Ghi mã, lập mã
Encoffin	Đưa vào quan tài
Encolour	Tô màu
Encomiast	Người viết bài tán tụng
Encomium	Bài tán tụng, lời tán dương
Encompass	Vây quanh, bao quanh
Encore	Múa lại!
Encounter	Cuộc gặp gỡ
Encourage	Làm can đảm, làm mạnh dạn
Encourager	Xem encourage
Encradle	Đặt trong nôi
Encratic	Khắc dục
Encraty	Sự khắc dịu
Encrimson	Làm đỏ thắm, nhuộm đỏ thắm
Encroacher	Người xâm lấn, người xâm phạm
Encrust	Phủ một lớp vỏ ngoài
Encrusted	Có lớp vỏ ngoài
Encrypt	Viết lại thành mật mã
Encyst	Bao vào nang, bao vào bào xác
Endamager	Gây nguy hiểm cho
Endanger	Gây nguy hiểm
Endeavorer	Xem endeavor
Endecagon	Xem hendecagon
Endemial	Xem endemic
Endemism	Xem endemic
Endergonic	Thu năng lượng
Endermic	Ảnh hưởng đến da
Enderon	Lớp nội bì
Ending	Sự kết thúc, sự chấm dứt
Endless	Vô hạn
Endlessly	Không ngừng, liên tu bất tận
Endline	Đường ranh giới
End-body	Bổ thể
End-brain	Não cuối
End-sheath	Bao ngọn
End-to-end	Hai đầu mút gần như chạm nhau
Endmost	Tột cùng, chót, xa nhất
Endobatic	Vào, nhập, hướng tâm
Endobiotic	Sống trong sinh vật
Endocarpal	Xem endocarp
Endocarpic	Thuộc vỏ quả trong
Endochrome	Sắc tố trong tế bào
Endocyst	Vách thể xốp
Endodermal	Xem endoderm
Endodermic	Xem endoderm
Endodyne	Máy tự tạo dao động nội tại
Endogamic	Nội giao
Endogeny	Xem endogenous
Endolymph	Nội bạch huyết
Endolysin	Nội tiêu tố
Endomere	Khúc lá phôi trong
Endomorphy	Xem endomorphic
Endophyte	Cây sống trong một cây khác
Endorm	Làm cho ai ở trạng thái ngủ
Endorsable	Xem endorse
Endorsor	Xem endorse
Endosarc	Nội tương
Endoscopic	Xem endoscope
Endosmose	Hiện tượng nội thẩm
Endosmosis	Sự thấm lọc vào
Endosmotic	Xem endosmosis
Endosome	Hạt cơ quan nội bào
Endothermy	Xem endothermic
Endotoxin	Nội độc tố
Endowment	Món tiền gửi, tiền quyên giúp
Endurable	Có thể chịu đựng được
Endurably	Xem endurable
Endurance	Sự chịu đựng
Enduring	Lâu dài, vĩnh viễn
Enduringly	Nhẫn nại, kiên trì
Endways	Đầu dựng ngược
Endwaysa	Đầu dựng ngược
Endwise	Đầu dựng ngược
Enemy	Quân địch, tàu địch
Energesis	Quá trình dị hoá thải nhiệt
Energetic	Hoạt động
Energetics	Năng lượng học
Energid	Chất nguyên sinh hoạt động
Energizer	Xem energize
Energumen	Người bị quỷ ám
Energy	Năng lượng
Enervating	Làm yếu, làm suy yếu
Enervation	Sự làm yếu, sự làm suy yếu
Enervative	Xem enervate
Enervator	Xem enervate
Enfeeble	Làm yếu
Enfeebler	Xem enfeeble
Enfold	Bọc, quấn
Enfolder	Xem enfold
Enforcedly	Do thúc ép, do ép buộc
Enforcer	Xem enforce
Engage	Đính ước, hứa hôn
Engaged	Đã đính ước, đã hứa hôn
Engager	Xem engage
Engagingly	Hấp dẫn, thú vị
Engender	Sinh ra, gây ra, đem lại
Engenderer	Xem engender
Engild	Mạ vàng
Engined	Có lắp máy
Engineer	Kỹ sư
Enginery	Máy móc
Engird	Đóng đai
Engirdle	Đóng đai
Engirt	Đóng đai
Englacial	Ở giữa băng hà
Englishism	Đặc điểm dân Anh
Engorge	Ăn ngấu nghiến, ngốn
Engoube	Men sành
Engrained	Ăn sâu, thâm căn cố đế
Engrave	Khắc, trổ, chạm
Engraving	Sự khắc, sự trổ, sự chạm
Engrosser	Xem engross
Enhalo	Bao quanh bằng cái quầng
Enhancer	Xem enhance
Enhancive	Xem enhance
Enigma	Điều bí ẩn
Enigmatic	Bí ẩn, khó hiểu
Enigmatist	Người nói năng khó hiểu
Enisle	Biến thành đảo
Enjoiner	Xem enjoin
Enjoinment	Chỉ thị
Enjoyable	Thú vị, thích thú
Enjoyably	Thú vị, thích thú
Enjoyer	Xem enjoy
Enjoyment	Sự thích thú, sự khoái trá
Enkindler	Xem enkindle
Enlace	Ôm ghì, ôm chặt, quấn bện
Enlarged	Mở rộng
Enlistment	Sự tuyển quân, sự tòng quân
Enlivener	Xem enliven
Enmeshment	Xem enmesh
Enmity	Sự thù hằn
Enneagonal	Toán chín cạnh
Ennoble	Làm thành quý tộc
Ennobler	Xem ennoble
Ennui	Sự buồn chán, sự chán nản
Ennuied	Buồn chán, chán nản
Enology	Cách chế rượu nho
Enophile	Người thích rượu nho
Enophilist	Xem enophile
Enorganic	Di truyền
Enormity	Tính tàn ác
Enormous	To lớn, khổng lồ
Enormously	To lớn, khổng lồ
Enough	Đủ
Enourmous	To lớn, khổng lồ
Enplane	Cho lên máy bay
Enquiry	Sự thẩm vấn, sự hỏi
Enraged	Nổi khùng
Enragement	Xem enrage
Enrapt	Mê thích
Enregister	Đăng ký
Enricher	Xem enrich
Enring	Đeo vòng, đeo khuyên
Enrobe	Mặc áo dài cho
Enrollee	Xem enroll
Enrollment	Như enrolment
Enroot	Bắt rễ sâu
Ensael	Đóng con dấu
Ensanguine	Làm đẫm máu
Ensconce	Náu, nép
Enseal	Đóng con dấu
Ensemble	Tập hợp
Ensheath	Đưa vào kén
Enshroud	Phủ kín, che lấp
Ensiform	Hình gươm, hình kiếm
Ensign	Phù hiệu
Ensilage	Sự ủ xilô
Ensilation	Sự ủ xilô
Enslaver	Người nô dịch hoá
Ensnarer	Xem ensnare
Ensnarl	Làm vướng, làm nắc
Ensoul	Cho linh hồn
Enstate	Đặt ở địa vị
Ensue	Xảy ra sau đó
Ensuing	Kế tiếp theo
Ensure	Đảm bảo
Entail	Tài sản kế thừa theo thứ tự
Entangler	Xem entangle
Entasis	Đường chỉ dọc cột
Enter	Vào, ghi, ra nhập
Enterable	Có thể vào được
Enteral	Trong ruột
Enteroderm	Biểu bì ruột
Entertain	Chiêu đãi
Enthetic	Nhập nội
Enthral	Mê hoặc, làm mê mệt
Enthrall	Mê hoặc, làm mê mệt
Enthronize	Lập làm vua
Enthusiasm	Sự hăng hái, sự nhiệt tình
Enthusiast	Người say mê
Entice	Dụ dỗ, cám dỗ, lôi kéo
Enticer	Xem entice
Enticing	Hấp dẫn, lôi cuốn, thú vị
Enticingly	Hấp dẫn, thú vị
Entire	Nguyên
Entirely	Hoàn toàn
Entireness	Tính nguyên vẹn
Entirety	Tính trọn vẹn
Entiserum	Huyết thanh miễn dịch
Entity	Bản thể
Entoblast	Nội phôi bì
Entoderm	Nội phôi bì
Entodermal	Thuộc lá phôi trong
Entoil	Sai vây bắt
Entomogamy	Sự thụ phấn nhờ côn trùng
Entophytic	Thuộc thực vật ký sinh trong
Entotic	Trong tai
Entourage	Vùng lân cận, vùng xung quanh
Entrails	Ruột
Entrainer	Xem entrain
Entrammel	Làm mắc míu, làm vướng víu
Entrance	Lối vào // sự ra nhập
Entrap	Đánh bẫy
Entrapment	Xem entrap
Entrapping	Sự đặt bẫy, đánh bẫy
Entreasure	Đưa vào kho tàng
Entreat	Khẩn nài, khẩn khoản, nài xin
Entreaty	Sự khẩn nài
Entrepôt	Kho hàng
Entrée	Quyền vào, quyền gia nhập
Entropic	Xem entropy
Entropy	Entrôpi
Entruck	Chất tải lên ô tô
Entrust	Giao, giao phó cho
Entryway	Lối đi vào
Entwist	Vặn xoắn
Enucleator	Xem enucleate
Enumerate	Đếm, đánh số
Enumerator	Người liệt kê
Enumerble	Đếm được
Enunciable	Xem enunciate
Enunciator	Người đề ra, người nói ra
Enure	Làm cho quen
Enuretic	Xem enuresis
Enveigle	Xem inveigle
Envelop	Bao, bọc, phủ
Enveloper	Xem envelop
Enveloping	Bao, bao bọc
Envenom	Tẩm thuốc độc
Envenomed	Độc ác
Enviable	Đáng thèm muốn, đáng ghen tị
Enviably	Đáng thèm muốn, đáng ganh tị
Envier	Xem envy
Envious	Thèm muốn, ghen tị, đố kỵ
Enviously	Thèm muốn, ganh tị, lăm le
Environ	Vòng quanh, bao quanh
Envision	Nhìn thấy như trong ảo ảnh
Envolop	Bao hình, bao
Envoy	Đại diện ngoại giao
Envoyship	Chức đại diện ngoại giao
Envyingly	Xem envy
Enwind	Cuộn tròn, xung quanh
Enwound	Cuộn tròn, xung quanh
Enwrap	Bọc, quấn
Enzedder	Người Niu Dilân
Enzymatic	Xem enzyme
Eoclimax	Cao đỉnh của gió
Eolation	Sự hủy hoại do gió
Eolian	Do gió đưa tới
Eonian	Vô cùng
Eosinophil	Ưa eozin
Eozoic	Thế trước Cambri
Eozotic	Xem eozoic
Epacmatic	Xem epacme
Epactal	Thừa quá nhiều
Epaxial	Trên trục
Epeirogeny	Xem epeirogenesis
Ependyma	Lớp lót khoang não-tủy sống
Ependymal	Thuộc lớp khoang não-tủy sống
Epergne	Vật trang trí bàn ăn
Ephah	37 lít
Ephebic	Xem ephebe
Ephedra	Thực giống cây ma hoàng
Ephemeris	Lịch thiên văn
Ephilaltes	Bóng đè
Epibiosis	Xem epibiotic
Epibiotic	Tàn dư
Epiblastic	Xem epiblast
Epibole	Sự mọc phủ
Epibolic	Xem epiboly
Epicalyx	Đài ngoài
Epicarpic	Thuộc vỏ quả ngoài
Epicarpium	Vỏ quả ngoài
Epicedia	Bài thơ điếu tang
Epicedium	Bài thơ điếu tang
Epicenism	Xem epicene
Epicenter	Chấn tâm
Epichroic	Bạc màu
Epiclinal	Trên đế hoa
Epicrisis	Số nhiều epicrisises
Epicure	Người sành ăn
Epicurism	Tính sành ăn
Epicyloid	Epixicloit
Epideictic	Để phô bày, để trưng bày
Epidemic	Dịch
Epidemical	Dịch, có tính chất bệnh dịch
Epiderma	Da
Epididymis	Số nhiều epididymides
Epifaunal	Thuộc hệ động vật mặt đáy
Epifocal	Xem epicentre
Epigeal	Epigeous
Epigean	Xem epigeal
Epigeic	Trên mặt đất
Epigenous	Mọc trên bề mặt
Epiglottal	Thuộc về nắp thanh quản
Epiglottic	Thuộc nắp thanh quản
Epignathus	Có hàm trên dài hơn hàm dưới
Epigonism	Chủ trương bắt chước
Epigram	Thơ trào phúng
Epigrapher	Xem epigraphy
Epigynium	Xem epigyne
Epilate	Vặt lông
Epilation	Sự nhổ lông
Epilobium	Cây liễu thảo
Epilogic	Thuộc phần kết luận
Epilogue	Phần kết, lời bạt
Epimere	Khúc cơ lưng
Epimeric	Thuộc epime
Epimerize	Epime hoá
Epimorphic	Giữ nguyên dạng
Epineurral	Thuộc vỏ dây thần kinh
Epiotic	Thuộc xương trên tai
Epiphitic	Thuộc thực vật biểu sinh
Epiphysial	Xem epiphysis
Epiplasm	Chất tế bào thừa
Epiploon	Số nhiều epiploa
Episcopate	Nhiệm kỳ giám mục
Episeme	Màu báo hiệu
Episomal	Thuộc thể bổ sung
Epispore	Vỏ ngoài bào tử
Episporous	Thuộc vỏ ngoài bào tử
Epistasis	Số nhiều epistases
Epistasy	Xem epistasis
Epistaxis	Số nhiều epistaxes
Epistemic	Thuộc trí thức
Episternum	Xương cán ức
Epistler	Người viết thể thơ bằng thư
Epistolary	Hợp với thư từ
Epitaph	Mộ chi
Epitaphic	Xem epitaph
Epitasis	Số nhiều epitases
Epitaxy	Sự mọc ghép
Epithelize	Biến thành biểu mô
Epithem	Mô tiết
Epitomise	Tóm tắt, cô lại
Epitomist	Người tóm tắt
Epitomize	Tóm tắt, cô lại
Epitomizer	Xem epitomist
Epizoan	Thuộc động vật ký sinh ngoài
Epizoicide	Thuốc diệt vật ký sinh ngoài
Epizoism	Xem epizoic
Epoch	Thời kỳ, giai đoạn
Epochal	Lịch sử
Epxonent	Số mũ
Epyllion	Bài sử thi ngắn
Equability	Tính không thay đổi, tính đều
Equable	Không thay đổi, đều
Equably	Điềm đạm, trầm tựnh
Equal	Bằng nhau, như nhau
Equalise	Làm bằng nhau, làm ngang nhau
Equality	Đẳng thức
Equalize	Làm cân bằng
Equalized	Đượclàm cân bằng
Equally	Đều
Equanimous	Thản nhiên
Equate	Làm cân bằng, san bằng
Equation	Phương trình
Equational	Làm cân bằng
Equator	Xích đạo
Equatorial	Gần xích đạo
Equiaffine	Đẳng afin
Equiareal	Bảo toàn diện tích
Equiaxial	Đẳng trục
Equicenter	Có cùng tâm, đẳng tâm
Equifrom	Đẳng dạng
Equine	Có tính chất ngựa
Equipoise	Sự cân bằng, vật cân bằng
Equipotent	Cùng lực lượng
Equisetic	Thuộc cây tháp bút
Equitable	Công bằng, vô tư
Equitably	Công bằng, không thiên vị
Equitation	Tài cưỡi ngựa
Equitize	Cổ phần hoá
Equity	Tính công bằng, tính vô tư
Equivalent	Tương đương
Equivocal	Lập lờ, nước đôi, hai nghĩa
Equivocate	Làm mập mờ, biểu thị nước đôi
Eradicable	Có thể nhổ rễ được
Eradicate	Nhổ rễ
Eradicator	Người nhổ rễ, người bài trừ
Erase	Xoá, xoá bỏ
Erased	Bị xoá, bị khử
Erasement	Sự xoá, sự xoá bỏ
Eraser	Người xoá, người xoá bỏ
Erasure	Sự xoá, sư khử
Erectable	Xem erect
Erecter	Người xây dựng
Erectility	Trạng thái cương
Erection	Sự dựng đứng
Erectly	Xem erect
Erectness	Sự dựng đứng
Erector	Vật làm đứng thẳng
Eremic	Thuộc hoang mạc
Eremite	Ẩn sĩ
Eremitism	Cuộc sống ẩn sĩ
Erenow	Trước đây
Erethismic	Xem erethism
Erethistic	Erethitic
Ergodic	Egodic
Ergodicity	Tính góc egodic
Ergology	Sinh lý học lao động
Ergonomic	Xem ergonomics
Ergonomist	Xem ergonomics
Ergonovine	Ecgometrin
Ergotic	Xem ergot
Ergotinin	Cũng ergotinine
Ergotize	%%ergotize%%ergotize
Erinys	Số nhiều erinyes
Erode	Xói mòn, ăn mòn
Eroded	Bị xói mòn, bị ăn mòn
Erodent	Xói mòn, ăn mòn
Erodible	Xem erode
Erogeneity	Tính kích thích tính dục
Erogenous	Nhạy kích thích tình dục
Eros	Thần ái tình
Erosion	Sự xói mòn, sự ăn mòn
Erosional	Xem erosion
Erosive	Xói mòn, ăn mòn
Erosivity	Xem erosive
Erotamania	Bệnh điên vì tình
Erotica	Văn học về tình
Erotically	Khiêu dâm, khêu gợi
Eroticism	Tính đa dâm
Eroticist	Xem eroticism
Eroticize	Khiêu dâm
Erotism	Sự khiêu dâm
Erotology	Ái tình học
Erotomania	Chứng cuồng dâm
Errancy	Sự sai lầm, sự sai sót
Errand-boy	Chú bé chạy việc vặt
Errant	Lang thang, giang hồ
Errantly	Xem errant
Errantry	Thân thể của hiệp sĩ giang hồ
Errata	Lỗi in, lỗi viết
Erraticism	Xem erratic
Erratics	Phiêu nham
Erratum	Bản đính chính
Errhine	Làm hắt hơi
Erroneous	Sai lầm
Error	Độ sai, sai số
Error free	Không sai lầm
Errorless	Đúng, đúng đắn
Ersatz	Thế phẩm
Erubescent	Ửng đỏ
Eruciform	Dạng sâu
Eruct	Ợ, ợ hơi
Eructate	Ợ, ợ hơi
Eructation	Sự ợ, sự ợ hơi
Eructative	Xem eructation
Erudite	Học rộng, uyên bác
Eruditely	Uyên thâm, uyên bác
Erudition	Tính uyên bác
Eruginous	Có màu gỉ đồng
Erumpent	Đột nhiên xuất hiện
Eruptively	Xem erupt
Erythrism	Màu da, tóc đỏ đặc biệt
Erythron	Tổng số hồng cầu
Escalade	Sự leo bằng thang
Escalader	Xem escalade
Escalate	Leo thang chiến tranh
Escalator	Cầu thang tự động
Escalatory	Xem escalate
Escapable	Xem escape
Escapee	Người trốn thoát
Escapement	Lối thoát ra
Escaper	Xem escape
Escapeway	Lối thoát ứng cấp
Escapism	Khuynh hướng thoát ly thực tế
Eschewal	Xem eschew
Escort	/
Escribe	Dựng đường tròn bàng tiếp
Escribed	Bàng tiếp
Escritoire	Bàn viết có ngăn kéo
Escucheon	Huy hiệu trên khiên
Esculent	Ăn được
Escutcheon	Huy hiệu trên khiên
Esker	Eskar
Eskimo	Người Et-ki-mô
Eskimoan	Thuộc người Eskimo
Esodic	Hướng tâm
Esophageal	Xem esophagus
Esoteric	Bí mật
Esoterical	Bí mật
Espadrille	Giày làm bằng vải bạt
Espagnole	Nước chấm Tây-ban-nha
Especial	Đặc biệt, xuất sắc
Especially	Đặc biệt là, nhất là
Esperance	Chờ đợi
Esperanto	Tiếng etperantô
Espial	Sự dọ thám, sự theo dõi
Espianage	Tình báo
Espiel	Theo dõi
Espouse	Lấy làm vợ
Esprit	Tính dí dỏm
Essay	Sự làm cố gắng
Essayer	Xem essay
Essayette	Bài văn ngắn
Essayist	Nhà văn tiểu luận
Essayistic	Thuộc tùy bút
Esse	Bản chất
Essence	Cốt yếu
Essenced	Xức nước hoa, có bôi nước hoa
Establish	Thiết lập
Estafette	Cũng estafet
Estaminet	Số nhiều estaminets
Estate	Tài sản
Estate car	Xe có ngăn riêng xếp hành lý
Esteem	Sự kính mến, sự quý trọng
Esterify	Este hoá
Esthesia	Xúc giác
Esthesis	Khả năng cảm giác
Esthete	Nhà duy mỹ
Esthonian	Người Extoni
Estimable	Ước lượng được
Estimably	Xem estimable
Estimate	Ước lượng, đánh giá
Estimated	Được ước lượng
Estimation	Ước lượng, sự đánh giá
Estimative	Để ước lượng
Estival	Thuộc mùa hè
Estoppage	Sự loại trừ
Estrade	Bục
Estranger	Xem estrange
Estray	Người lạc, vật để lạc
Estriate	Không sọc
Estuarial	Xem estuary
Estuary	Cửa sông
Esurience	Sự đói khát
Esuriency	Sự đói khát
Esurient	Thèm muốn
Esuriently	Xem esurient
Et al	Đặc ngữ La tinh
Et ceteras	Đồ linh tinh
Et seq	Đặc ngữ La tinh
Etamine	Vải mặt rây
Etceteras	Đồ linh tinh
Etchant	Chất khắc ăn mòn
Etcher	Thợ khắc axit
Etching	Thuật khắc axit
Eternality	Tính vĩnh viễn, tính bất diệt
Eternally	Đời đời, vĩnh viễn, bất diệt
Eternity	Tính vĩnh viễn, tính bất diệt
Ethene	Etilen
Ether	Chín tầng mây, thinh không
Ethereally	Nhẹ lâng lâng
Etheric	Xem ether
Etherizer	Xem etherize
Ethicality	Xem ethical
Ethics	Đạo đức, luân thường đạo lý
Ethnarch	Tỉnh trưởng
Ethnarchy	Xem ethnarch
Ethnically	Về mặt dân tộc
Ethnicism	Xem ethnicalism
Ethnicity	Tính cách sắc tộc
Ethnogeny	Khoa nguồn gốc tộc người
Ethnology	Dân tộc học
Ethnos	Đoàn thể huyết tộc
Ethography	Phong tục học
Ethologist	Xem ethology
